product_category_name,product_category_name_english,data_ingestao
beleza_saude,health_beauty,2026-04-06 19:20:49.811122
informatica_acessorios,computers_accessories,2026-04-06 19:20:49.811122
automotivo,auto,2026-04-06 19:20:49.811122
cama_mesa_banho,bed_bath_table,2026-04-06 19:20:49.811122
moveis_decoracao,furniture_decor,2026-04-06 19:20:49.811122
esporte_lazer,sports_leisure,2026-04-06 19:20:49.811122
perfumaria,perfumery,2026-04-06 19:20:49.811122
utilidades_domesticas,housewares,2026-04-06 19:20:49.811122
telefonia,telephony,2026-04-06 19:20:49.811122
relogios_presentes,watches_gifts,2026-04-06 19:20:49.811122
alimentos_bebidas,food_drink,2026-04-06 19:20:49.811122
bebes,baby,2026-04-06 19:20:49.811122
papelaria,stationery,2026-04-06 19:20:49.811122
tablets_impressao_imagem,tablets_printing_image,2026-04-06 19:20:49.811122
brinquedos,toys,2026-04-06 19:20:49.811122
telefonia_fixa,fixed_telephony,2026-04-06 19:20:49.811122
ferramentas_jardim,garden_tools,2026-04-06 19:20:49.811122
fashion_bolsas_e_acessorios,fashion_bags_accessories,2026-04-06 19:20:49.811122
eletroportateis,small_appliances,2026-04-06 19:20:49.811122
consoles_games,consoles_games,2026-04-06 19:20:49.811122
audio,audio,2026-04-06 19:20:49.811122
fashion_calcados,fashion_shoes,2026-04-06 19:20:49.811122
cool_stuff,cool_stuff,2026-04-06 19:20:49.811122
malas_acessorios,luggage_accessories,2026-04-06 19:20:49.811122
climatizacao,air_conditioning,2026-04-06 19:20:49.811122
construcao_ferramentas_construcao,construction_tools_construction,2026-04-06 19:20:49.811122
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,2026-04-06 19:20:49.811122
construcao_ferramentas_jardim,costruction_tools_garden,2026-04-06 19:20:49.811122
fashion_roupa_masculina,fashion_male_clothing,2026-04-06 19:20:49.811122
pet_shop,pet_shop,2026-04-06 19:20:49.811122
moveis_escritorio,office_furniture,2026-04-06 19:20:49.811122
market_place,market_place,2026-04-06 19:20:49.811122
eletronicos,electronics,2026-04-06 19:20:49.811122
eletrodomesticos,home_appliances,2026-04-06 19:20:49.811122
artigos_de_festas,party_supplies,2026-04-06 19:20:49.811122
casa_conforto,home_confort,2026-04-06 19:20:49.811122
construcao_ferramentas_ferramentas,costruction_tools_tools,2026-04-06 19:20:49.811122
agro_industria_e_comercio,agro_industry_and_commerce,2026-04-06 19:20:49.811122
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,2026-04-06 19:20:49.811122
livros_tecnicos,books_technical,2026-04-06 19:20:49.811122
casa_construcao,home_construction,2026-04-06 19:20:49.811122
instrumentos_musicais,musical_instruments,2026-04-06 19:20:49.811122
moveis_sala,furniture_living_room,2026-04-06 19:20:49.811122
construcao_ferramentas_iluminacao,construction_tools_lights,2026-04-06 19:20:49.811122
industria_comercio_e_negocios,industry_commerce_and_business,2026-04-06 19:20:49.811122
alimentos,food,2026-04-06 19:20:49.811122
artes,art,2026-04-06 19:20:49.811122
moveis_quarto,furniture_bedroom,2026-04-06 19:20:49.811122
livros_interesse_geral,books_general_interest,2026-04-06 19:20:49.811122
construcao_ferramentas_seguranca,construction_tools_safety,2026-04-06 19:20:49.811122
fashion_underwear_e_moda_praia,fashion_underwear_beach,2026-04-06 19:20:49.811122
fashion_esporte,fashion_sport,2026-04-06 19:20:49.811122
sinalizacao_e_seguranca,signaling_and_security,2026-04-06 19:20:49.811122
pcs,computers,2026-04-06 19:20:49.811122
artigos_de_natal,christmas_supplies,2026-04-06 19:20:49.811122
fashion_roupa_feminina,fashio_female_clothing,2026-04-06 19:20:49.811122
eletrodomesticos_2,home_appliances_2,2026-04-06 19:20:49.811122
livros_importados,books_imported,2026-04-06 19:20:49.811122
bebidas,drinks,2026-04-06 19:20:49.811122
cine_foto,cine_photo,2026-04-06 19:20:49.811122
la_cuisine,la_cuisine,2026-04-06 19:20:49.811122
musica,music,2026-04-06 19:20:49.811122
casa_conforto_2,home_comfort_2,2026-04-06 19:20:49.811122
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,2026-04-06 19:20:49.811122
cds_dvds_musicais,cds_dvds_musicals,2026-04-06 19:20:49.811122
dvds_blu_ray,dvds_blu_ray,2026-04-06 19:20:49.811122
flores,flowers,2026-04-06 19:20:49.811122
artes_e_artesanato,arts_and_craftmanship,2026-04-06 19:20:49.811122
fraldas_higiene,diapers_and_hygiene,2026-04-06 19:20:49.811122
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,2026-04-06 19:20:49.811122
seguros_e_servicos,security_and_services,2026-04-06 19:20:49.811122
